ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,BLACK NON-HISPANIC,1/10/12 20:00,Dorchester Ave @ Gibson St,"Distribution of Class D, Within100' Play Ground",,,
BPD,BLACK NON-HISPANIC,1/10/12 21:00,Drapers Ln/ Newland St,"Distribution of Class B, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/11/12 2:10,Brenton St/Glenway St,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/11/12 11:36,Humphries St,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE NON-HISPANIC,1/11/12 11:45,Meridian St/Saratoga St,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/11/12 12:30,Oxford Place,Distribution of Class B,,,
BPD,BLACK HISPANIC,1/11/12 12:32,Blue Hill Av /Brunswick St,"Poss. W/I to Distribute, Class D",,,
BPD,BLACK NON-HISPANIC,1/11/12 13:20,Warrick St,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE HISPANIC,1/11/12 14:40,Courthouse Way,Possession of Class A,,,
BPD,WHITE NON-HISPANIC,1/11/12 15:21,Long Av / Greylock,Distribution of Class B,,,
BPD,WHITE NON-HISPANIC,1/11/12 17:25,Columbia Rd,"Class A, 14-27 grams, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/11/12 18:43,Dorchester Av/Fuller St,Distribution of Class B,,,
BPD,WHITE NON-HISPANIC,1/11/12 19:50,Hanover/Cross,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/11/12 19:55,Clarendon/Chandler,Distribution of Class A,,,
BPD,BLACK NON-HISPANIC,1/11/12 21:02,Fuller St,"Poss. W/I to Distribute, Class D",,,
BPD,BLACK NON-HISPANIC,1/12/12 2:30,Lydon Wy,Distribution of Class B,,,
BPD,BLACK HISPANIC,1/12/12 7:30,Brinsley St,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE HISPANIC,1/12/12 12:22,Boylston Street,"Distribution of Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/12/12 12:22,Boylston Street,"Distribution of Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/12/12 12:40,Vinton Street,"Poss. W/I to Distribute, Class A, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/12/12 16:17,Intervale St,"Poss. W/I to Distribute, Class A, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/12/12 18:58,Mass/Harrison.Ave,"Poss. W/I to Distribute, Class A",,,
BPD,WHITE HISPANIC,1/12/12 19:30,Washington St,Possession of Class A,,,
BPD,WHITE NON-HISPANIC,1/12/12 19:30,Washington St,Possession of Class A,,,
BPD,WHITE NON-HISPANIC,1/12/12 20:02,Bakersfield St,Possession of Class E,,,
BPD,WHITE NON-HISPANIC,1/13/12 0:50,Locust/ Dorchester Ave,Possession of Class A,,,
BPD,WHITE NON-HISPANIC,1/13/12 1:38,Tremont St.,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/13/12 5:40,West Tremlett St.,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE NON-HISPANIC,1/13/12 9:30,E Broadway,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/13/12 9:30,Mass Ave And Harrison Ave,"Poss. W/I to Distribute, Class C",,,
ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,WHITE HISPANIC,1/13/12 11:20,Condoe St,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/13/12 13:27,Corey St,Possession of Class A,,,
BPD,WHITE NON-HISPANIC,1/13/12 13:30,Seamont Rd,Possession of Class A,,,
BPD,BLACK NON-HISPANIC,1/13/12 15:30,Dorset St,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/13/12 20:15,North/Clark,"Distribution of Class A, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/13/12 20:15,North/Clark,"Poss. W/I to Distribute, Class A, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/13/12 20:20,Montrose St And Warren St,Distribution of Class D,,,
BPD,WHITE HISPANIC,1/13/12 20:20,Rutherford/Old Rutherford,"Distribution of Class A, Within 1000' School Zone",,,
BPD,WHITE HISPANIC,1/13/12 20:25,Rutherford/Old Rutherford,"Distribution of Class A, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/13/12 21:00,Saratoga/Swift,Possession of Class B,,,
BPD,WHITE HISPANIC,1/14/12 0:14,Blue Hill Ave / American Legio,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/14/12 9:27,Fuller St/ Washhington St,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/14/12 10:57,White St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/14/12 11:00,White St,"Poss. W/I to Distribute, Class C, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/14/12 11:20,Boylston Street,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/15/12 1:15,Tennis Rd,"Distribution of Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/15/12 12:55,Walk Hill Ave And Hyde Park Av,"Distribution of Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/16/12 10:05,Blue Hill Ave/Donald Rd,Possession of Class A,,,
BPD,WHITE NON-HISPANIC,1/16/12 11:00,Old Ironsideway,Possession of Class E,,,
BPD,BLACK NON-HISPANIC,1/16/12 13:07,Cummins Hy/Fairway St,Possession of Class D,,,
BPD,WHITE NON-HISPANIC,1/17/12 2:45,Parker St,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/17/12 7:17,Norfolk St,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
